Company,TypeName,Inches,Ram,OpSys,Weight,Price,TouchScreen,IPS,HD_4K,CPU_Brand,GPU_Brand,Memory_Type,CPU_Frequency,Length,Width,PPI
MSI,Gaming,17.3,16,Windows 10,1.3609765531356006,11.590868616270843,0,0,1,Intel,Nvidia,Hybrid,2.8,1920.0,1080.0,4.854649288865456
Acer,Notebook,15.6,4,Windows 10,1.1314021114911006,10.07816160826124,0,0,0,Intel,Intel,HDD,2.0,1366.0,768.0,4.6196120963719745
Dell,Gaming,15.6,16,Windows 10,1.269760544863939,11.105882705023603,0,0,1,Intel,Nvidia,SSD,2.8,1920.0,1080.0,4.9573188885088015
Dell,Gaming,15.6,8,Windows 10,1.2864740258376797,10.776864937870439,0,0,1,Intel,Nvidia,Other,2.8,1920.0,1080.0,4.9573188885088015
Lenovo,Notebook,15.6,4,Windows 10,1.0647107369924282,10.1861987908373,0,0,0,Intel,Intel,SSD,2.5,1366.0,768.0,4.6196120963719745
MSI,Gaming,17.3,16,Windows 10,1.33500106673234,11.519903064802,0,0,1,Intel,Nvidia,Hybrid,2.8,1920.0,1080.0,4.854649288865456
HP,Ultrabook,14.0,4,Windows 10,0.9082585601768908,10.962144831854813,0,0,1,Intel,Intel,SSD,2.7,1920.0,1080.0,5.064811007262561
HP,Notebook,15.6,6,Windows 10,1.068153081183401,10.403696619569766,0,0,1,Intel,AMD,SSD,1.6,1920.0,1080.0,4.9573188885088015
Lenovo,2 in 1 Convertible,14.0,4,Windows 10,1.007957920399979,10.419722121547444,1,1,1,Intel,Intel,SSD,2.4,1920.0,1080.0,5.064811007262561
Asus,2 in 1 Convertible,13.3,8,Windows 10,0.7419373447293773,11.157167243570104,1,0,1,Intel,Intel,SSD,1.6,1920.0,1080.0,5.115788496573994
Dell,2 in 1 Convertible,15.6,8,Windows 10,0.9400072584914712,10.9311715265263,1,0,1,Intel,Intel,SSD,1.8,1920.0,1080.0,4.9573188885088015
Toshiba,Notebook,15.6,4,Windows 10,1.1314021114911006,10.07816160826124,0,0,0,Intel,Intel,HDD,2.2,1366.0,768.0,4.6196120963719745
Asus,Notebook,15.6,4,Windows 10,1.1085626195212777,9.974544159721564,0,0,0,AMD,AMD,HDD,3.0,1366.0,768.0,4.6196120963719745
Acer,Notebook,17.3,4,Windows 10,1.3862943611198906,10.666426618619608,0,1,1,Intel,Nvidia,SSD,1.6,1920.0,1080.0,4.854649288865456
Dell,Notebook,15.6,8,Windows 10,1.1410330045520618,10.565887855372269,0,0,1,Intel,AMD,SSD,1.6,1920.0,1080.0,4.9573188885088015
Lenovo,Gaming,15.6,16,Windows 10,1.252762968495368,10.959368385934692,0,1,1,Intel,Nvidia,SSD,2.8,1920.0,1080.0,4.9573188885088015
Acer,Notebook,15.6,4,Windows 10,1.1314021114911006,9.82781743779585,0,0,0,Intel,Intel,HDD,1.1,1366.0,768.0,4.6196120963719745
MSI,Gaming,15.6,16,Windows 10,1.2237754316221157,11.470557693018055,0,1,1,Intel,Nvidia,Hybrid,2.8,1920.0,1080.0,4.9573188885088015
Acer,Notebook,15.6,4,Windows 10,1.1314021114911006,9.87141946386704,0,0,0,Intel,Intel,HDD,1.1,1366.0,768.0,4.6196120963719745
Dell,Gaming,15.6,8,Windows 10,1.269760544863939,10.942065068725807,0,0,1,Intel,Nvidia,Hybrid,2.8,1920.0,1080.0,4.9573188885088015
Acer,Notebook,17.3,8,Windows 10,1.3862943611198906,10.725514197260196,0,1,1,Intel,Nvidia,SSD,1.6,1920.0,1080.0,4.854649288865456
HP,Notebook,13.3,4,Windows 10,0.9122827104766162,10.600978286196554,0,1,1,Intel,Intel,HDD,1.6,1920.0,1080.0,5.115788496573994
