Company,TypeName,Ram,OpSys,Weight,CPU,HDD,SSD,GPU,TouchScreen,IPS,PPI
Fujitsu,Notebook,8,Windows,2.2,Intel Core i5,1000,,Intel,0,0,100.45466986113651
Apple,Ultrabook,8,Mac,0.92,Other Intel Processor,,,Intel,0,1,226.41554716935852
Lenovo,Notebook,6,Windows,2.8,Intel Core i7,1000,128,Nvidia,0,0,106.11306214269258
Acer,Notebook,4,Windows,2.23,Intel Core i3,1000,,Nvidia,0,0,141.21199808219862
Asus,Notebook,8,Windows,2.0,Intel Core i7,1000,256,Nvidia,0,1,282.42399616439724
Lenovo,Notebook,4,Windows,2.2,AMD,0,,AMD,0,0,100.45466986113651
Acer,Notebook,8,Other,2.4,Intel Core i7,1000,,Nvidia,0,0,141.21199808219862
Dell,Gaming,8,Windows,2.62,Intel Core i7,1000,128,Nvidia,0,0,282.42399616439724
Dell,Notebook,8,Windows,2.2,Intel Core i7,,256,AMD,0,0,141.21199808219862
Lenovo,2 in 1 Convertible,8,Windows,1.37,Intel Core i7,,512,Intel,1,1,165.6321180513006
Asus,Gaming,8,Windows,2.2,Intel Core i7,1000,,Nvidia,0,0,141.21199808219862
Lenovo,Notebook,8,Windows,1.7,Intel Core i5,,256,Intel,0,1,157.3505121487356
Dell,Notebook,4,Windows,2.18,Intel Core i7,,256,AMD,0,0,141.21199808219862
Lenovo,2 in 1 Convertible,8,Windows,1.4,Intel Core i5,,256,Intel,1,1,158.48253022174808
Lenovo,2 in 1 Convertible,16,Windows,1.38,Intel Core i7,,512,Intel,1,0,157.3505121487356
HP,Ultrabook,8,Windows,1.88,Intel Core i7,,256,Intel,0,0,141.21199808219862
Asus,Gaming,16,Windows,2.59,Intel Core i7,1000,128,Nvidia,0,1,141.21199808219862
Acer,Notebook,4,Windows,1.4,Other Intel Processor,,,Intel,0,0,135.0942111925629
Lenovo,Notebook,8,Windows,2.32,Intel Core i7,,,AMD,0,0,141.21199808219862
Asus,Notebook,8,Windows,2.1,Intel Core i7,1000,128,Nvidia,0,0,127.33567457123111
HP,2 in 1 Convertible,4,Windows,1.45,Other Intel Processor,,256,Intel,1,0,135.0942111925629
MSI,Gaming,16,Windows,2.7,Intel Core i7,1000,256,Nvidia,0,0,127.33567457123111
Dell,Gaming,16,Windows,4.36,Intel Core i7,1000,128,Nvidia,0,1,127.33567457123111
Mediacom,Notebook,4,Windows,1.45,Other Intel Processor,,32,Intel,0,1,157.3505121487356
Dell,Notebook,4,Windows,2.18,Intel Core i5,1000,,Intel,0,0,100.45466986113651
Vero,Notebook,2,Windows,1.45,Other Intel Processor,,,Intel,0,0,111.93520355955211
Lenovo,Notebook,4,Windows,2.79,Intel Core i5,1000,,Nvidia,0,0,106.11306214269258
